Date,Shift,GarmentType,TargetUnits,EmployeeIDs,DefectsCount,MachineID,Make,Model,Assigned (Yes/No)
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M043,Singer,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M044,Singer,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M045,Singer,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M046,Juki,B2000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M047,Brother,B2000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M048,Juki,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M049,Juki,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M050,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M001,Brother,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M002,Brother,S1000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M003,Juki,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M004,Juki,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M005,Juki,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M006,Singer,S1000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M007,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M008,Brother,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M009,Juki,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M010,Singer,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M011,Brother,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M012,Brother,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M013,Juki,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M014,Singer,B2000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M015,Singer,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M016,Brother,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M017,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M018,Singer,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M019,Juki,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M020,Brother,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M021,Juki,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M022,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M023,Singer,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M024,Brother,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M025,Singer,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M026,Singer,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M027,Juki,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M028,Singer,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M029,Singer,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M030,Juki,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M031,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M032,Brother,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M033,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M034,Singer,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M035,Juki,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M036,Singer,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M037,Brother,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M038,Juki,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M039,Singer,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M040,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M041,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M042,Juki,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M043,Brother,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M044,Brother,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M045,Singer,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M046,Brother,J3000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M047,Singer,J3000,Yes
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M048,Juki,S1000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M049,Brother,B2000,No
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13,M050,Brother,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M001,Brother,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M002,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M003,Brother,J3000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M004,Singer,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M005,Juki,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M006,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M007,Brother,J3000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M008,Brother,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M009,Singer,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M010,Singer,S1000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M011,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M012,Juki,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M013,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M014,Juki,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M015,Singer,S1000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M016,Juki,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M017,Juki,S1000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M018,Juki,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M019,Juki,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M020,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M021,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M022,Brother,S1000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M023,Brother,B2000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M024,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M025,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M026,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M027,Brother,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M028,Juki,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M029,Juki,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M030,Singer,S1000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M031,Brother,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M032,Singer,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M033,Singer,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M034,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M035,Brother,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M036,Brother,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M037,Singer,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M038,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M039,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M040,Brother,B2000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M041,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M042,Juki,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M043,Juki,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M044,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M045,Singer,J3000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M046,Brother,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M047,Singer,J3000,Yes
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M048,Brother,S1000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M049,Singer,B2000,No
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20,M050,Brother,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M001,Brother,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M002,Singer,S1000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M003,Singer,B2000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M004,Singer,B2000,Yes
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M005,Singer,S1000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M006,Singer,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M007,Brother,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M008,Brother,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M009,Brother,B2000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M010,Juki,S1000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M011,Brother,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M012,Singer,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M013,Brother,B2000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M014,Juki,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M015,Brother,S1000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M016,Brother,S1000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M017,Brother,S1000,Yes
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M018,Brother,J3000,No
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10,M019,Singer,B2000,No
